1	"Production Agency"	"The agency responsible for the production of the data (AML)"	"IHO code for producing agencies"	"AGENCY"				"Coded String"
20486	"Beam of Vessel"	"The beam of the vessel, being the widest part of its hull, in its operational state. (Adapted from Webster's 3rd New International Dictionary)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"vesbem"		0,1		"Real"
20487	"Bearing"	"The horizontal direction of one terrestrial point from another, expressed as the angular distance from a reference direction. (IHO Dictionary, S-32, 5th Edition, 435)"		"bearng"	"Degree (°)"	0,1	"0.0 - 359.9"	"Real"
20488	"Blind Zone"	"Pair(s) of bearings that define the blind zone  (AML)"	"The blind zone data should be encoded using a floating point numeric value for each bearing that defines the blind zone.  The second bearing will be in a clockwise direction from the first bearing. The figures describing each value shall be separated by a"	"blndzn"	"Degree (°)"	0,1	"0.0 - 359.9"	"Coded String"
20489	"Breaker Type"	"Type of wave breaking on the shore. (AML)"		"brktyp"				"Enumeration"
20490	"Density"	"The proportion of a mass to its bulk or volume. (Chambers Concise Dictionary)"		"bulkdn"	"kg/m3"	0,01		"Real"
20491	"Burial Mechanism"	"The method by which an object has or could become buried. (AML)"		"brmchm"				"Enumeration"
20492	"Burial Percentage"	"The percentage of the object that has become buried. (AML)"		"brpctg"	"%"		"0 - 100"	"Integer"
20493	"Burial Period"	"Time likely to be taken to achieve burial. (AML)"		"brperd"	"hour"			"Integer"
20494	"Burial Probability"	"The likelihood of subsequent burial and its estimated rate (AML)"		"brprob"				"Enumeration"
20495	"Cardinal Point Orientation"	"The angle of the major axis of the object expressed to the nearest 45 degrees using cardinal compass point notation. (Adapted from STANAG 3715)"		"orcard"				"Enumeration"
20497	"Category of airspace restriction"	"Category of airspace restriction"		"catasr"				"Enumeration"
20499	"Bottom Feature Classification"	"Classification of naturally occurring bottom features on the seabed. (AML)"		"catbot"				"Enumeration"
20501	"Category of controlled airspace"	"Air Traffic Services airspace classifications, applicable to the ATS airspace, as defined by the governing aviation authority and in accordance with ICAO standards"		"catcas"				"Enumeration"
20502	"Fishing Activity"	"Category of Fishing Activity"		"catfsh"				"Enumeration"
20503	"Type of Imagery"	"Type of Imagery"		"catimg"				"List"
20504	"Category of marine management area"	"Category of marine management area"		"catmma"				"Enumeration"
20505	"Category of maritime safety information"	"Category of maritime safety information"		"catmsi"				"Enumeration"
20506	"Category of military exercise airspace"	"Category of military exercise airspace (aeronautical)"		"catmea"				"Enumeration"
20507	"Category of patrol area"	"Category of patrol area"		"catpat"				"Enumeration"
20508	"Category of reporting/radio calling-in point"	"Category of reporting/radio calling-in point"		"catrep"				"Enumeration"
20510	"Category of territorial sea baseline"	"Category of territorial sea baseline"		"catsbl"				"Enumeration"
20511	"Trafficability"	"Ability of the beach to support vehicular traffic (AML)"		"cattrf"				"Enumeration"
20512	"Command System"	"The command system in use by the vessel that found the object. (AML)"		"comsys"				"String"
20515	"Controlled airspace class designation"	"Air traffic services and rules of operation (e.g. instrument (IFR), and, visual (VFR), flight rules etc.) that are applicable to the controlled airspace, as defined by the governing aviation authority and in accordance with ICAO standards (AML). Classes d"	"For details refer to: CAA Chart series GSGS 5201C, sheet UK ATS Airspace Classifications, edition 4 - GSGS"	"caircd"				"Enumeration"
20516	"Controlling authority"	"The recognised authority responsible for establishing and maintaining the administrative affairs of all matters relating to a particular field or subject. (AML)"		"authty"				"String"
20517	"Current Scour Dimensions"	"The length, width, depth and orientation of the longest dimension of a scour that is associated with the object and that is caused by the action of currents. (AML)"	"Encodes in quadruplets: LLL.L,WWW.W,DDD.D,OOO . LLL.L = length (Real number, units defined by the HUNI sub-field or HUNITS attribute), WWW.W = width (Real number, units defined by the HUNI sub-field or HUNITS attribute), DDD.D = depth (Real number, units "	"scrdim"				"Coded String"
20518	"Dangerous Marine and Land Life"	"Marine and land life that could be dangerous to personnel during amphibious operations. (AML)"		"dgmrlf"				"List"
20519	"Date Sunk"	"Date on which the object sank or was abandoned to the sea. (AML)"	"The date should be encoded using 4 digits for the calendar year (CCYY), 2 digits for the month (MM) (e.g. April = 04) and 2 digits for the day (DD)"	"datsnk"				"Date"
20520	"Debris Field"	"The length and orientation of the longest dimension of the debris field associated with the object. (AML)"	"Encoded in pairs: LLLL.L,OOO . LLLL.L = the length of the material along the sea floor (Real number, units defined by the HUNI sub-field or HUNITS attribute); OOO = orientation (from true North) of the longest dimension of the material  (Integer, Degrees)"	"debfld"				"Coded String"
20521	"Depth of Activity"	"Average depth at which diving activities are taking place. (AML)"	"Units defined in the DUNI subfield of the DSPM record, the DUNITS attribute of the M_UNIT meta object, or object class."	"depact"		0,1		"Real"
20522	"Depth of Layer"	"Estimated general depth of rock layer or unconsolidated surface materials. (Adapted from DIGEST FACC, Annex B: B105)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"deplyr"		0,1		"Real"
20523	"Distance from Small Bottom Object"	"Distance from the object of the position from which the image was obtained. (AML)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"discon"		0,1		"Real"
20524	"Diver's Thrust Test Depth"	"The depth to which a diver is able to thrust his arm. (AML)"		"dttdep"				"Enumeration"
20525	"Diver's Thrust Test Number"	"Number of arm thrusts required to bury to the shoulder. (AML)"		"dttnum"			"1 - 4"	"Integer"
20526	"Diving Activity"	"Type of diving activity taking place. (AML)"		"divact"				"Enumeration"
20527	"Draught of Vessel"	"The draught of the vessel, being the depth of water the ship draws especially when loaded, in its operational state. (Adapted from Webster's 3rd New International Dictionary)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"vesdgh"		0,1		"Real"
20528	"Exit Usability"	"Usability of exits from beach for vehicles and infantry (AML)"		"exitus"				"Enumeration"
20529	"Field Name"	"The name given to a group of reservoirs yielding oil or gas, which the installation is involved in extracting. (Adapted from An A-Z of Offshore Oil & Gas by Harry Whitehead, 2nd Ed, 1983, Gulf Publishing Company)"		"fldnam"				"String"
20530	"First Detection Year"	"The year in which the object was originally reported. (Adapted from STANAG 3715)"	"The date should be encoded using 4 digits for the calendar year (CCYY)."	"datfir"				"Date"
20531	"First Sensor"	"Indicates by the use of which sensor the object was originally  reported.  (Adapted from STANAG 3715)"		"senfir"				"Enumeration"
20532	"First Source"	"Indicates the source of the original report of the object. (Adapted from STANAG 3715)"		"sorfir"				"Enumeration"
20533	"Foliar Index"	"The surface value of one significant leaf, which is obtained by multiplying the leaf length by the leaf width. (AML)"		"folinx"	"cm2"	0,1		"Real"
20534	"Gas Content"	"Gas content of the sediment expressed as a percentage. (AML)"		"gascon"	"%"			"Integer"
20535	"General Water Depth"	"The general depth of the water in the vicinity of the object. (AML)"	"Units defined in the DUNI subfield of the DSPM record, the DUNITS attribute of the M_UNIT meta object, or object class."	"gendep"				"Integer"
20536	"Gradient"	"The change of any quantity with distance in any given direction. (IHO Dictionary, S-32, 5th Edition, 2062.)"		"gradnt"				"Enumeration"
20537	"Grain Size"	"Grain size of the sediment. (AML)"		"grnsiz"	"mm"	0,001		"Real"
20538	"Inclination"	"The angle, measured from the horizontal, at which the object rests on the sea floor. (AML)"		"incltn"	"Degree (°)"	0,01	"0.00 - 90.00"	"Real"
20540	"Last Detection Year"	"The year in which the object was subsequently confirmed. (Adapted from STANAG 3715)"	"The date should be encoded using 4 digits for the calendar year (CCYY)."	"datlst"				"Date"
20541	"Last Sensor"	"Indicates by the use of which sensor the object was subsequently confirmed.  (Adapted from STANAG 3715)"		"senlst"				"Enumeration"
20542	"Last Source"	"Indicates the source which subsequently confirmed the object. (Adapted from STANAG 3715)"		"sorlst"				"Enumeration"
20543	"Lay Platform"	"The type of unit that laid the mine (AML)"		"layptm"				"Enumeration"
20544	"Lay Reference Number"	"A number allocated to an individual mine by the minefield planning authority. (AML)"		"layrfn"				"String"
20545	"Lay Time"	"Date and time a mine has been laid. (AML)"	"CCYYMMDDThhmm. The date should be encoded using 4 digits for the calendar year (CCYY), 2 digits for the month (MM) and 2 digits for the day (DD), separated by a capital T from the  hour (hh) and minutes (mm)."	"laytim"				"Date"
20546	"Layer Number"	"Number of geological layer, ascending from the lowest identified layer. (AML)"		"laynum"				"Integer"
20547	"Legal Status"	"Classification of the area with respect to the law. (AML)"		"legsta"				"String"
20548	"Length of Vessel"	"The length of the vessel, being its total extent from end to end, in its operational state. (Adapted from Webster's 3rd New International Dictionary)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"veslen"		0,1		"Real"
20549	"Magnetic Anomaly Detector (MAD) Signature"	"Indication of the strength of the Magnetic Anomaly Detector reading caused by the object. (AML)"		"madsig"				"Enumeration"
20550	"Magnetic Intensity"	"Magnetic intensity generated by the object. (AML)"		"magint"	"nT"			"Integer"
20551	"Mean Shear Strength"	"Pressure required to deform the sediment. (AML)"		"msstrg"	"kg/m2"	0,1		"Real"
20552	"Migration Direction"	"Direction of movement of feature. (AML)"		"migdir"	"Degree (°)"		"0 - 359"	"Integer"
20553	"Migration Speed"	"Speed of movement of feature. (AML)"	"Horizontal Units per day. Horizontal units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"migspd"	"m/day or ft/day"	0,01		"Real"
20554	"Milec Density"	"Density of mine-like echoes per square mile. (AML)"		"milden"				"Enumeration"
20555	"Mine Index Mine Case"	"Information on the mine body.(AML)"		"mnimnc"				"List"
20556	"Mine Index Mine Type"	"Information on the type of mine. (AML)"		"mnimnt"				"List"
20557	"Mine Reference Number"	"Reference number of object classified as a mine,consisting of the last two or three letter's of the ship's international call sign followed by a two figure number allocated by the ship.  (AML)"		"minern"				"String"
20558	"Minehunting Classification"	"Classification of profile of the sea bed. (AML)"		"mhclas"				"Enumeration"
20559	"Minehunting System"	"The method of minehunting employed by the vessel that found the object. (AML)"		"mnhsys"				"String"
20560	"Minesweeping System"	"The method of minesweeping employed by the vessel that found the object. (AML)"		"mnssys"				"String"
20561	"Mission Classification"	"Classification of the mission that found the object. (AML)"		"miscls"				"Enumeration"
20562	"Mission Comments"	"Textual information relating to the mission that found the object. (AML)"		"miscom"				"String"
20563	"Mission Date"	"Date of the mission that found the object. (AML)"	"The date should be encoded using 4 digits for the calendar year (CCYY), 2 digits for the month (MM) (e.g. April = 04) and 2 digits for the day (DD)."	"misdat"				"Date"
20564	"Mission Name"	"Name of exercise or operation taking place when the object was found. (AML)"		"misnme"				"String"
20565	"MWDC Reference Number"	"Reference number used by the Minewarfare Data Centre. (AML)"		"mwdcrn"				"String"
20566	"Nature of Geological Layer"	"Type of rock or sediment making up the geological layer. (AML)"		"natsed"				"Enumeration"
20567	"Navigation System"	"The navigation system used by the vessel that found the object (AML)"		"navsys"				"String"
20568	"NOMBO Density"	"Density of non-mine mine-like bottom objects. (AML)"		"nomden"				"Enumeration"
20569	"Not Found"	"Occasions when the area has been surveyed and the object not found. (AML)"	"The date should be encoded using 4 digits for the calendar year (CCYY), 2 digits for the month (MM) (e.g. April = 04) and 2 digits for the day (DD)."	"notfnd"				"String"
20570	"Number of Previous Observations"	"Number of times the object has been reported. (AML)"		"nmprob"				"Integer"
20571	"Operator"	"Name of the company operating the installation. (AML)"		"oprtor"				"String"
20572	"Orientation of Best Observation"	"The bearing from which the object can be best observed. (AML)"		"orbobn"	"Degree (°)"	0,1	"0.0 - 359.9"	"Real"
20573	"Origin of Data"	"The method by which the data was determined. (AML)"		"orgdat"				"Enumeration"
20574	"Originator"	"Name of vessel or unit from which the information originated. (AML)"		"orgntr"				"String"
20575	"Porosity"	"The ratio of the aggregate volume of pore space in a rock or sediment to its total volume, expressed as a percentage. (Adapted from IHO Dictionary, S32, 5th Edition, 3949)"		"porsty"	"%"		"0 - 100"	"Integer"
20576	"Quality of Beach Data"	"Indication of the quality of the beach survey. (AML)"	"1 = Full beach survey by especially trained team; 2 = Organised beach reconnaissance; 3 = Considerable information confirmed to a large extent by an experienced observer; 4 = Considerable information but no expert confirmation; 5 = Some information confir"	"quabch"				"Coded String"
20577	"Re-entered Date"	"The date on which activity at the well site resumed, either to enable further exploration or development work, or to initiate production of oil or gas. (AML)"	"The date should be encoded using 4 digits for the calendar year (CCYY), 2 digits for the month (MM) (e.g. April = 04) and 2 digits for the day (DD)."	"datren"				"Date"
20578	"Re-suspended Date"	"The date on which a well is suspended for a second or subsequent time, meaning it has again been temporarily abandoned. (Adapted from An A-Z of Offshore Oil & Gas by Harry Whitehead, 2nd Ed, 1983, Gulf Publishing Company)"	"The date should be encoded using 4 digits for the calendar year (CCYY), 2 digits for the month (MM) (e.g. April = 04) and 2 digits for the day (DD)."	"datres"				"Date"
20579	"Reverberation"	"Level of back-scattering strength of sonar transmissions. (AML)"		"revebn"				"Enumeration"
20581	"Sample Retained"	"Sample of sediment retained. (AML)"		"samret"				"String"
20582	"Seabed Coverage"	"Percentage of seabed covered by vegetation. (AML)"		"sbdcov"	"%"		"0 - 100"	"Integer"
20583	"Ships Speed"	"Speed of ship when image was obtained. (AML)"		"shpspd"	"Kt"	0,1		"Real"
20584	"Sonar Frequency"	"Frequency of the sonar that obtained the image. (AML)"		"snrfrq"				"Enumeration"
20585	"Sonar Range Scale"	"The specified range of the sonar. (AML)"		"snrrsc"	"m"	0,1		"Real"
20586	"Sonar Reflectivity"	"Measure of sonar reflectivity returned by the object. (AML)"		"snrflc"				"Enumeration"
20587	"Sonar Signal Strength"	"An indication of the strength of the echo of a sonic signal returned from an object. (Adapted from IHO Dictionary, S-32, 4819)"		"sonsig"				"Enumeration"
20588	"Sound Velocity"	"Speed of sound. (AML)"		"sndvel"	"m/sec"	0,01		"Real"
20589	"Sounding Datum"	"Indicates the datum to which soundings are referred. (Adapted from S-57 Annex A, Appendix A, IHO Object Catalogue)"	"When the vertical datum is unknown, such as water areas above locks, the value `local datum' is to be used, and further details may be encoded using `INFORM'."	"soudat"				"Enumeration"
20590	"Spudded Date"	"The date on which a new well is spudded, meaning to start drilling a new borehole. (Adapted from An A-Z of Offshore Oil & Gas by Harry Whitehead, 2nd Ed, 1983, Gulf Publishing Company)"	"The date should be encoded using 4 digits for the calendar year (CCYY), 2 digits for the month (MM) (e.g. April = 04) and 2 digits for the day (DD)."	"datspd"				"Date"
20592	"Steepest Face Orientation"	"The angular distance measured from true north to the axis of the steepest face of the object. (Adapted from Digital Geographic Information Working Group - DGIWG, Oct.87)"		"stfotn"	"Degree (°)"	0,1	"0.0 - 359.9"	"Real"
20593	"Strength According to Richter Scale"	"Strength of seismic activity. (AML)"		"ricsca"	"Richter Scale"			"Integer"
20594	"Strength of Magnetic Anomaly"	"Indication of the strength of the magnetic anomaly caused by the object. (AML)"		"magany"				"Enumeration"
20595	"Suitability for ACV Use"	"Suitability for use by Air Cushioned Vehicles. (AML)"		"stbacv"				"Enumeration"
20596	"Surf Height"	"Average height of the surf. (AML)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"srfhgt"		0,1		"Real"
20597	"Surf Zone"	"Distance of surf zone from water line. (AML)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"srfzne"				"Integer"
20598	"Survey Date and Time"	"Date of survey and time that the object was found or observation made. (AML)"	"CCYYMMDDThhmm. The date should be encoded using 4 digits for the calendar year (CCYY), 2 digits for the month (MM) and 2 digits for the day (DD), separated by a capital T from the  hour (hh) and minutes (mm)."	"surdat"				"Date"
20599	"Suspension Date"	"The date on which a well is suspended, meaning it has been temporarily abandoned. (Adapted from An A-Z of Offshore Oil & Gas by Harry Whitehead, 2nd Ed, 1983, Gulf Publishing Company)"	"The date should be encoded using 4 digits for the calendar year (CCYY), 2 digits for the month (MM) (e.g. April = 04) and 2 digits for the day (DD)"	"datsus"				"Date"
20600	"Swell Height"	"Average height of the swell. (AML)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"swlhgt"		0,1		"Real"
20601	"Tidal Range"	"The average difference in height between high and low tides. (Adapted from IHO Dictionary, S-32, 5th Edition, 4225)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"tdlrng"		0,1		"Real"
20602	"Time of Year"	"Time of year an activity is taking place. (AML)"		"timeyr"				"List"
20603	"Tonnage"	"The operational tonnage of the vessel. (AML)"		"tonage"	"t"			"Integer"
20604	"Towed Body Depth"	"Depth of towed body that obtained the image. (AML)"		"twdbdp"	"m"	0,1		"Real"
20605	"Type of military activity"	"Type of military activity or activities associated with area"		"milact"				"List"
20606	"Type of Tonnage"	"The method used to derive the operational tonnage of the vessel. (AML)"		"typton"				"Enumeration"
20607	"Type of Wreck"	"An indication of the type and / or usage of the vessel before it became a wreck. (AML)"		"typewk"				"Enumeration"
20608	"Underwater Reference Mark"	"Indication that the object can be used as a reference mark to confirm the vessel's position.(AML)"		"unwrfm"				"Enumeration"
20610	"Water Clarity"	"Indication of the particulate matter suspended in the water column by recording the visibilty through the water. (AML)"	"May be measured by Secchi disc or by diver observation"	"watclr"	"m"	0,1		"Real"
20611	"Wavelength"	"The distance between corresponding points of two successive periodic waves in the direction of propagation, for which the oscillation has the same phase.(IHO Dictionary, S-32, 5th Edition,5939)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"wavlen"		0,1		"Real"
20612	"Weight Bearing Capability"	"Maximum weight of vehicle that can use the object. (AML)"		"wbrcap"	"Kg"			"Integer"
20613	"Q-Route channel Width (left)"	"The left-hand channel width of a Q-Route expressed as the measurement taken from the route centreline to the channel limit when proceeding UP a Q-route (e.g. A to B to C to D). (AML)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class. The specified direction of a feature must be encoded using the ORIENT attribute."	"lftwid"		0,1		"Real"
20614	"Q-Route channel Width (right)"	"The right-hand channel width of a Q-Route expressed as the measurement taken from the route centreline to the channel limit when proceeding UP a Q-route (e.g. A to B to C to D). (AML)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class.. The specified direction of a feature must be encoded using the ORIENT attribute."	"rgtwid"		0,1		"Real"
20615	"Contour Type"	"Type of depth contour. (AML)"		"hypcat"				"Enumeration"
20616	"Sounding Velocity"	"Indicates type of correction that has been added to, or subtracted from instrument reading to obtain correct depth. (AML)"		"souvel"				"Enumeration"
20617	"Access Restriction"	"Restrictions on access to the beach from the sea. (AML)"		"accres"				"String"
20618	"Approach"	"Description of approach including direction and potential hazards. (AML)"		"apprch"				"String"
20619	"Category of Beach"	"Suitability of the beach for certain types of landing craft. (AML)"		"catbch"				"Enumeration"
20620	"Clearance Percentage"	"The expected value of the percentage of mines of a given type to be cleared from an area or channel. (AML)"		"clperc"	"%"		"0 - 100"	"Integer"
20621	"Communications"	"Method of communication available. (AML)"		"commns"				"List"
20622	"Confidence Level"	"The probability that the assumption made from a negative result of the exploratory operations is correct. (AML)"		"conlev"		0,01	"0.00 - 1.00"	"Real"
20624	"Exit Description"	"Description of exits from an area used for air landing purposes. (AML)"		"extdes"				"String"
20625	"Industry"	"Information on the industries including potential hazards. (AML)"		"indtry"				"String"
20626	"Landing Conditions"	"Description of the landing conditions including surface composition and immediate topographical features. (AML)"		"lndcon"				"String"
20627	"Leisure Activity"	"Type of leisure activity taking place. (AML)"		"lsract"				"String"
20628	"Logistics"	"Handling and supply facilities of the location. (AML)"		"logtcs"				"List"
20629	"Manoeuvring"	"Manoeuvring required for the boat to get into position. (AML)"		"manvrg"				"String"
20630	"Mine Threat Density"	"The estimated density of mines. (AML)"		"mntden"	"mines/m2"			"Integer"
20631	"Multiple Contacts"	"Where the object consists of multiple contacts on a small area. (AML)"		"mulcon"				"Integer"
20632	"Navigational Description"	"Description of any specific navigational requirements. (AML)"		"navdes"				"String"
20633	"Navigational Difficulty"	"An indication of the navigational difficulties associated with the location.  (AML)"		"navdif"				"Enumeration"
20634	"Number of Remaining Mines"	"The maximum acceptable number of remaining mines. (AML)"		"numrmn"				"Integer"
20635	"Pier Contact Details"	"Name and telephone number of the pier owner.  (AML)"		"pierod"				"String"
20636	"Pier Description"	"A description of the pier. (AML)"		"pierdn"				"String"
20637	"Prairies Density"	"The number of plants per square metre. (AML)"		"prsden"				"Integer"
20638	"Probability for Remaining Mines"	"The probability that the maximum acceptable number of mines remain. (AML)"		"prbrmn"		0,01	"0.00 - 1.00"	"Real"
20639	"Remaining Mines Likely, Maximum Number"	"The maximum number of mines likely to be remaining following MCM operations. (AML)"		"rmnlmn"				"Integer"
20640	"Self Protection (Air)"	"An indication of the level of self protection from air attack. (AML)"		"sfptna"				"Enumeration"
20641	"Self Protection (Near Defence)"	"An indication of the level of self protection from land attack. (AML)"		"sptnnd"				"Enumeration"
20642	"Self Protection (Surface)"	"An indication of the level of self protection from surface attack. (AML)"		"sfptns"				"Enumeration"
20643	"Sensor Coverage"	"Description of sensor coverage. (AML)"		"sencov"				"String"
20644	"Simple Initial Threat"	"The threat posed to the first ship to transit a minefield, given that there have been no previous MCM and that only poised mines have been used in the calculations. (AML)"		"sminth"		0,01	"0.00 - 1.00"	"Real"
20645	"Target Reference Weight"	"Reference weight of the target used when referring to burial probability. (AML)"		"tgrfwt"				"Enumeration"
20646	"Tidal Type"	"The characteristic feature of tide determined from the combination of its diurnal and semi-diurnal components. (IHO Dictionary, S-32, 5th Edition, 5716)"		"tdltyp"				"Enumeration"
20647	"Type of Resource Location"	"Type of Resource Location"		"typres"				"Enumeration"
20648	"Undetectable Mines Ratio"	"The total fraction of undetectable mines. (AML)"		"undmnr"		0,01	"0.00 - 1.00"	"Real"
20649	"Undetectable Mines Ratio with Burial"	"The fraction of undetectable mines due to total mine burial. (AML)"		"umnrwb"		0,01	"0.00 - 1.00"	"Real"
20650	"Undetectable Mines Ratio without Burial"	"The fraction of undetectable mines and masked mines caused by the bottom profile and the clutter density. (AML)"		"umrwob"		0,01	"0.00 - 1.00"	"Real"
20651	"Weapon Coverage"	"Description of weapon coverage. (AML)"		"wpncov"				"String"
20652	"On Sonar"	"Indicates whether the object is visible on sonar. (AML)"		"onsonr"				"Enumeration"
20653	"HF Bottom Loss"	"The loss of high frequency sonar signal from the geological layer. (AML)"		"hfbmls"	"dB"	0,1		"Real"
20654	"LF Bottom Loss"	"The loss of low frequency sonar signal from the geological layer. (AML)"		"lfbmls"	"dB"	0,1		"Real"
20655	"Detection Probability"	"The estimated probability of detecting a mine. (AML)"		"dtprob"		0,01	"0.00 - 1.00"	"Real"
20656	"Disposal Probability"	"The estimated probability of neutralising a mine. (AML)"		"dsprob"		0,01	"0.00 - 1.00"	"Real"
20657	"Classification Probability"	"The estimated probability of classifying a mine or other object of potential military significance. (AML)"		"clprob"		0,01	"0.00 - 1.00"	"Real"
20658	"Characteristic Detection Width (A)"	"The width of path over which mines can be detected on a single run. (AML)"		"cswidt"	"m"			"Integer"
20659	"Characteristic Detection Probability (B)"	"The ratio of the number of mines detected on a single run to the number of mines that could have been detected. (AML)"		"csprob"		0,01	"0.00 - 1.00"	"Real"
20660	"Zone Colour"	"Gives an indication of estimated level of risk. (AML)."		"znecol"				"Enumeration"
20661	"Reverberation Frequency"	"The frequency of the sonar signal. (AML)"		"revfqy"	"kHz"	0,1		"Real"
20662	"Reverberation Grazing Angle"	"The angle of the sonar signal. (AML)"		"revgan"	"Degree (°)"	0,01	"0.00 - 359.99"	"Real"
20663	"International Defence Organisation (IDO) status"	"The International Defence Organisation (IDO) status (if applicable) that must precede, and be applied to, the Protective Marking thus making it an IDO Marking.(AML)"		"secido"				"Enumeration"
20664	"Protective Marking"	"A marking indicating the minimum standards of protection required of the data.(AML)"		"secpmk"				"Enumeration"
20665	"Owner Authority"	"Denotes the `owner' that is responsible for establishing and setting the protective marking level. (AML)"	"Owner Authority is encoded by a two-character code derived from NATO STANAG 1059."	"secown"				"String"
20666	"Caveat"	"A component of a security classification used for authorising a specific group to have access rights (AML)"		"seccvt"				"String"
20667	"Species"	"A group of individuals having common characteristics, specialised from others of the same genus (Chambers Concise Dictionary)"		"spcies"				"String"
20669	"Runway length"	"The total length of the longest runway (AML)"		"rwylen"	"ft"			"Integer"
20670	"Active period"	"Details of the operating times/dates that restrict when an object is active or in use (AML)."		"actper"				"String"
20671	"Maximum altitude"	"Height (AGL - above ground level) above surface level to the highest portion of the feature (modified FACC - AV2)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"maxalt"				"Integer"
20672	"Minimum altitude"	"Height (AGL - above ground level) above surface level to the lowest portion of the feature (modified FACC - AV1)"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"minalt"				"Integer"
20673	"Maximum Flight Level"	"A maximum surface of constant atmospheric pressure which is related to a specific pressure datum, (1,013.2 hectopascal (hPa) or 29.92 inches) and is separated from the consecutive flight levels by a pressure interval corresponding to 500 feet (152.4 m.) -"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"maxftl"				"Integer"
20674	"Minimum Flight Level"	"A minimum surface of constant atmospheric pressure which is related to a specific pressure datum, (1,013.2 hectopascal (hPa) or 29.92 inches) and is separated from the consecutive flight levels by a pressure interval corresponding to 500 feet (152.4 m.) -"	"Units defined in the HUNI subfield of the DSPM record, the HUNITS attribute of the M_UNIT meta object, or object class."	"minftl"				"Integer"
20675	"Bottom Vertical Safety Separation"	"A percentage value that can be applied to a charted depth in order to establish the BVSS clearance (AML)"		"bverss"	"%"		"0 -100"	"Integer"
20676	"Minimum Safe Depth"	"The minimum safe depth (MSD) applicable to a submarine of a specified height proceeding at a given rate of knots that should normally be used for planning purposes (AML)"	"Units defined in the DUNI subfield of the DSPM record, the DUNITS attribute of the M_UNIT meta object, or object class."	"mindep"				"Integer"
20677	"Interpolated line characteristic"	"The characteristics of a line used during interpolation between two points."		"linech"				"Enumeration"
20678	"Identification"	"The secondary name or identifier of an object. (AML)"		"identy"				"String"
20679	"Route Classification"	"A colour classification applied to a Q-Route to indicate the threat presented by the presence of mines (AML)."		"rclass"				"Enumeration"
20680	"Population"	"The number of inhabitants(Chambers Concise Dictionary)"		"popltn"				"Integer"
20681	"Surface Threat"	"Indication of the level of threat from surface attack. (AML)"		"surtht"				"Enumeration"
20682	"Heading-Up Bearing"	"The horizontal direction heading up a Q-Route (e.g. A to B to C to D), expressed as the angular distance from true north. It is usually measured from 0 at the reference direction clockwise through 360 (modified IHO Dictionary, S-32, 5th Edition, 435)"		"upbear"	"Degree (°)"	0,1	"0.0 - 359.9"	"Real"
20683	"Heading-Down Bearing"	"The horizontal direction heading down a Q-Route (e.g. D to C to B to A), expressed as the angular distance from true north. It is usually measured from 0 at the reference direction clockwise through 360 (modified IHO Dictionary, S-32, 5th Edition, 435)"		"dnbear"	"Degree (°)"	0,1	"0.0 - 359.9"	"Real"
20685	"Danger height"	"The reported danger height below which a danger to aircraft or aeronautical navigation exists (AML)"		"dgrhgt"	"ft"			"Integer"
20686	"Depth Restriction"	"Restrictions and/or additional qualifying information relating to submarine navigation (AML)"		"depres"				"String"
20687	"Area Category"	"Area category"		"arecat"				"Enumeration"
20688	"Existence of Restricted Area"	"Indication that a restricted area exists around the object. (AML)"	"If enumerate value 501 of the attribute is encoded, this should indicate to a GIS that the point object lies within an associated area object and that if required, the system should be directed to locate the said area, it being defined from the same spati"	"exzres"				"Enumeration"
20689	"Target Strength"	"The strength of the returning signal from the target. (AML)"		"tarstg"	"dB"			"Integer"
20690	"Qualification of Radar Coverage"	"Qualification of Radar Coverage"		"quarad"				"Enumeration"
20691	"Contact Details"	"Contact details including telephone, telex, fax etc."		"condet"				"String"
